Woche;Gesamt;Trier Hbf;Mannheim Hbf;Wiesbaden Hbf;Mainz Hbf;FrankfurtHbf
42;8,42;7,25;7,02;4,86;9,92;13,05
43;10,05;9,14;9,31;10,38;9,01;12,43
44;11,34;9,91;9,14;9,07;12,75;15,82
45;5,47;1,00;11,50;4,29;4,55;6,00
Testzeitraum;8,82;6,82;9,24;7,15;9,06;11,83
