Woche;Gesamt;Trier Hbf;Mannheim Hbf;Wiesbaden Hbf;Mainz Hbf;FrankfurtHbf
42;4,0;;;1,0;2,0;1,0
43;49,0;6,0;7,0;7,0;9,0;20,0
44;66,0;2,0;4,0;12,0;30,0;18,0
45;7,0;;5,0;;;2,0
Total;126,0;8,0;16,0;20,0;41,0;41,0
