timetableStop_id;station;eva;target;trainCategory;trainNumber;departingLine;plannedDeparture;changedDepartureTime;cancellationTime;eventStatus;departure_delay;operator;Verbindung;week_number
5087419890193968379-2411021806-8;Trier Hbf;8000134;Luxembourg;RE;5124;11;2024-11-02 19:37:00;2024-11-02 19:58:00;;;21;DB Regio AG;RE11;43
7582314568044505717-2411051944-6;Mainz Hbf;8000240;Zürich HB;IC;60403;;2024-11-06 01:42:00;2024-11-06 02:10:00;;;28;DB Fernverkehr AG;Mainz Hbf-Zürich HB;44
-5851721557238592488-2411051944-6;Mainz Hbf;8000240;Zürich HB;NJ;403;;2024-11-06 01:42:00;2024-11-06 02:10:00;;;28;ÖBB;Mainz Hbf-Zürich HB;44
1632742810702910701-2410300834-10;Mainz Hbf;8000240;Dortmund Hbf;ICE;228;;2024-10-30 14:20:00;2024-10-30 14:33:00;;;13;DB Fernverkehr AG;Mainz Hbf-Dortmund Hbf;43
3997200133294264185-2410301406-8;Trier Hbf;8000134;Mannheim Hbf;RE;4116;1;2024-10-30 15:33:00;2024-10-30 15:53:00;;;20;DB Regio AG;RE1;43
205634809839004922-2410301406-8;Trier Hbf;8000134;Luxembourg;RE;5116;11;2024-10-30 15:37:00;2024-10-30 15:57:00;;;20;DB Regio AG;RE11;43
-4059341726586179126-2410301237-16;Trier Hbf;8000134;Koblenz Hbf;RE;4123;1;2024-10-30 15:31:00;2024-10-30 15:48:00;2024-10-30 15:29:00;c;17;DB Regio AG;RE1;43
-7937556967056290041-2410301304-7;Mainz Hbf;8000240;Frankfurt(Main)Hbf;RE;4261;2;2024-10-30 14:10:00;2024-10-30 14:18:00;;;8;DB Regio AG;RE2;43
333620029166382799-2411051134-9;Mainz Hbf;8000240;Dortmund Hbf;ICE;28;;2024-11-05 16:20:00;2024-11-05 17:06:00;;;46;DB Fernverkehr AG;Mainz Hbf-Dortmund Hbf;44
-4363138856453226211-2411051111-9;Mainz Hbf;8000240;Interlaken Ost;ICE;373;;2024-11-05 16:42:00;2024-11-05 17:32:00;2024-11-05 14:59:00;c;50;DB Fernverkehr AG;Mainz Hbf-Interlaken Ost;44
7983801099953614172-2411071427-2;Wiesbaden Hbf;8000250;Basel SBB;ICE;109;;2024-11-07 15:26:00;2024-11-07 15:32:00;;;6;DB Fernverkehr AG;Wiesbaden Hbf-Basel SBB;44
-3142229394664463974-2411071453-4;Wiesbaden Hbf;8000250;Neuwied;VIA;25020;RB10;2024-11-07 15:33:00;2024-11-07 15:52:00;;;19;VIAS GmbH;RB10;44
1945603439104254635-2411080340-18;Mainz Hbf;8000240;Frankfurt(Main)Hbf;RB;29551;33;2024-11-08 05:06:00;2024-11-08 05:14:00;;;8;DB Regio AG;RB33;44
2288371223400055720-2410280621-19;Trier Hbf;8000134;Koblenz Hbf;RE;4109;1;2024-10-28 08:31:00;2024-10-28 08:48:00;2024-10-28 07:59:00;c;17;DB Regio AG;RE1;43
4665731000406430120-2411091526-1;Frankfurt(Main)Hbf;8000105;Fulda;RE;4520;50;2024-11-09 15:26:00;2024-11-09 15:34:00;;;8;DB Regio AG;RE50;44
5318588127399277552-2411091525-1;Frankfurt(Main)Hbf;8000105;Assmannshausen;VIA;25074;RB10;2024-11-09 15:25:00;2024-11-09 15:34:00;;;9;VIAS GmbH;RB10;44
8868050453695511606-2411062134-10;Mainz Hbf;8000240;Amsterdam Centraal;NJ;402;;2024-11-07 03:50:00;2024-11-07 04:06:00;;;16;ÖBB;Mainz Hbf-Amsterdam Centraal;44
4753870957390372842-2411062134-10;Mainz Hbf;8000240;Amsterdam Centraal;IC;60402;;2024-11-07 03:50:00;2024-11-07 04:06:00;;;16;DB Fernverkehr AG;Mainz Hbf-Amsterdam Centraal;44
-8506595045713296172-2410291502-8;Mainz Hbf;8000240;Bingen(Rhein) Hbf;HLB;63668;RB26;2024-10-29 15:34:00;2024-10-29 15:41:00;;;7;Hessische Landesbahn;RB26;43
244698461933490290-2410291428-22;Mainz Hbf;8000240;Wiesbaden Hbf;S;35844;8;2024-10-29 15:29:00;2024-10-29 15:38:00;;;9;DB Regio AG;S8;43
-812349646202530462-2411091542-1;Frankfurt(Main)Hbf;8000105;Wächtersbach;RB;15522;51;2024-11-09 15:42:00;2024-11-09 15:48:00;;;6;DB Regio AG;RB51;44
-5040855886902453859-2411021528-6;Mannheim Hbf;8000244;Köln Hbf;ICE;514;;2024-11-02 18:31:00;2024-11-02 18:41:00;;;10;DB Fernverkehr AG;Mannheim Hbf-Köln Hbf;43
-6494316294562870719-2411100201-3;Mannheim Hbf;8000244;Karlsruhe Hbf;S;38303;3;2024-11-10 02:11:00;2024-11-10 02:18:00;;;7;DB Regio AG;S3;45
-5509874741420293995-2411100201-3;Mannheim Hbf;8000244;Mosbach(Baden);S;38201;2;2024-11-10 02:11:00;2024-11-10 02:18:00;;;7;DB Regio AG;S2;45
-4751259183263600773-2411092257-14;Mannheim Hbf;8000244;Heidelberg Hbf;S;38413;4;2024-11-09 23:36:00;2024-11-10 00:26:00;2024-11-10 00:17:00;c;50;DB Regio AG;S4;45
-6444663262818355031-2411010819-9;Trier Hbf;8000134;Koblenz Hbf;RE;4141;1;2024-11-01 09:31:00;2024-11-01 09:43:00;;;12;DB Regio AG;RE1;43
3498949492888129043-2411070816-24;Mainz Hbf;8000240;Wiesbaden Hbf;S;35820;8;2024-11-07 09:29:00;2024-11-07 09:59:00;;;30;DB Regio AG;S8;44
1099609528345034489-2411070846-24;Mainz Hbf;8000240;Wiesbaden Hbf;S;35822;8;2024-11-07 09:59:00;2024-11-07 10:08:00;;;9;DB Regio AG;S8;44
-8338217849521596952-2411070636-8;Mainz Hbf;8000240;München Hbf;ICE;1621;;2024-11-07 09:42:00;2024-11-07 10:00:00;;;18;DB Fernverkehr AG;Mainz Hbf-München Hbf;44
-9216864287469065670-2411071223-4;Wiesbaden Hbf;8000250;Rüdesheim(Rhein);VIA;25088;RB10;2024-11-07 13:13:00;2024-11-07 13:23:00;;;10;VIAS GmbH;RB10;44
-5632453174521695061-2411090817-11;Frankfurt(Main)Hbf;8000105;Stuttgart Hbf;ICE;575;;2024-11-09 12:52:00;2024-11-09 13:00:00;;;8;DB Fernverkehr AG;Frankfurt(Main)Hbf-Stuttgart Hbf;44
4378397206170216940-2411090713-8;Frankfurt(Main)Hbf;8000105;Basel SBB;ICE;279;;2024-11-09 12:06:00;2024-11-09 12:33:00;;;27;DB Fernverkehr AG;Frankfurt(Main)Hbf-Basel SBB;44
-6070682685838517552-2410261518-1;Wiesbaden Hbf;8000250;Offenbach(Main)Ost;S;35849;8;2024-10-26 15:18:00;2024-10-26 15:36:00;;;18;DB Regio AG;S8;42
8850452489523868017-2410312102-2;Mannheim Hbf;8000244;Köln Hbf;ICE;100;;2024-10-31 21:35:00;2024-10-31 21:41:00;;;6;DB Fernverkehr AG;Mannheim Hbf-Köln Hbf;43
1770523119625154622-2411040512-1;Trier Hbf;8000134;Kaiserslautern Hbf;RB;12513;71;2024-11-04 05:12:00;2024-11-04 05:19:00;;;7;DB Regio AG;RB71;44
4198706028225770986-2410291313-7;Wiesbaden Hbf;8000250;Köln Hbf;ICE;106;;2024-10-29 16:39:00;2024-10-29 16:59:00;;;20;DB Fernverkehr AG;Wiesbaden Hbf-Köln Hbf;43
-3480652184249646044-2410301735-1;Mannheim Hbf;8000244;Koblenz Hbf;RE;4133;1;2024-10-30 17:35:00;2024-10-30 18:01:00;;;26;DB Regio AG;RE1;43
-8591091067723025297-2411011615-13;Mannheim Hbf;8000244;Stuttgart Hbf;ICE;773;;2024-11-01 21:58:00;2024-11-01 23:40:00;2024-11-01 22:01:00;c;102;DB Fernverkehr AG;Mannheim Hbf-Stuttgart Hbf;43
-1790024725878292801-2410270836-11;Frankfurt(Main)Hbf;8000105;Wien Hbf;ICE;27;;2024-10-27 12:22:00;2024-10-27 12:37:00;;;15;DB Fernverkehr AG;Frankfurt(Main)Hbf-Wien Hbf;43
-4580757756484141741-2410261315-7;Mainz Hbf;8000240;München Hbf;ICE;1211;;2024-10-26 17:42:00;2024-10-26 17:51:00;;;9;DB Fernverkehr AG;Mainz Hbf-München Hbf;42
-5284561636684227426-2410311452-11;Trier Hbf;8000134;Koblenz Hbf;RE;4125;1;2024-10-31 16:31:00;2024-10-31 16:37:00;;;6;DB Regio AG;RE1;43
5380812853050234346-2410311533-7;Trier Hbf;8000134;Koblenz Hbf;RE;5125;11;2024-10-31 16:31:00;2024-10-31 16:40:00;;;9;DB Regio AG;RE11;43
