Woche;Gesamt;Trier Hbf;Mannheim Hbf;Wiesbaden Hbf;Mainz Hbf;FrankfurtHbf
42;6,27;2,86;7,04;3,88;8,41;9,17
43;8,67;9,39;7,58;11,07;8,08;7,26
44;9,41;8,66;7,48;9,65;11,16;10,08
45;7,92;;19,63;6,00;3,67;2,40
Testzeitraum;8,07;6,97;10,43;7,65;7,83;7,23
