timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
-7613009266222733140-2410311901-26;Wiesbaden Hbf;8000250;Hanau Hbf;Hanau Hbf|Steinheim(Main)|Mühlheim(Main)-Dietesheim|Mühlheim(Main)|Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Niederrad|Frankfurt am Main - Stadion|Frankfurt(Main)-Gateway Gardens|Frankfurt(M) Flughafen Regionalbf|Kelsterbach|Raunheim|Rüsselsheim|Rüsselsheim Opelwerk|Mainz-Bischofsheim|Mainz-Kastel|Wiesbaden Ost;S;35964;9;2024-10-31 20:19:00;2024-10-31 20:20:00;;;1;DB Regio AG;S9;43
-8662834945717536958-2410311928-32;Wiesbaden Hbf;8000250;Rödermark-Ober Roden;Rödermark-Ober Roden|Rodgau-Rollwald|Rodgau-Nieder Roden|Rodgau-Dudenhofen|Rodgau-Jügesheim|Rodgau-Hainhausen|Rodgau-Weiskirchen|Obertshausen(Kr Of)|Offenbach-Waldhof|Offenbach-Bieber|Offenbach(Main)Ost|Offenbach(Main) Marktplatz|Offenbach(Main) Ledermuseum|Offenbach(Main) Kaiserlei|Frankfurt(M)Mühlberg|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief)|Frankfurt-Griesheim|Frankfurt-Nied|Frankfurt-Höchst|Frankfurt-Höchst Farbwerke|Frankfurt-Sindlingen|Hattersheim(Main)|Eddersheim|Flörsheim(Main)|Hochheim(Main)|Mainz-Kastel|Wiesbaden Ost;S;35164;1;2024-10-31 20:54:00;2024-10-31 20:58:00;;;4;DB Regio AG;S1;43
5598887887498344120-2411010416-8;Mannheim Hbf;8000244;Hamburg Hbf;Hamburg Hbf|Hamburg-Harburg|Hannover Hbf|Göttingen|Kassel-Wilhelmshöhe|Frankfurt(Main)Hbf|Mainz Hbf;ICE;275;;2024-11-01 09:27:00;2024-11-01 09:27:00;;;0;DB Fernverkehr AG;Hamburg Hbf-Mannheim Hbf;43
-690776802853422910-2411010641-7;Mannheim Hbf;8000244;München Hbf;München Hbf|München-Pasing|Augsburg Hbf|Ulm Hbf|Plochingen|Stuttgart Hbf;ICE;692;;2024-11-01 09:28:00;2024-11-01 09:28:00;2024-11-01 06:21:00;c;0;DB Fernverkehr AG;München Hbf-Mannheim Hbf;43
-6643802255688505728-2411010825-3;Mannheim Hbf;8000244;Frankfurt(Main)Hbf;Frankfurt(Main)Hbf|Neu-Edingen/Friedrichsfeld;ICE;9556;;2024-11-01 09:36:00;2024-11-01 09:30:00;;;-6;DB Fernverkehr AG;Frankfurt(Main)Hbf-Mannheim Hbf;43
3777986403955937594-2411100538-8;Wiesbaden Hbf;8000250;Darmstadt Hbf;Darmstadt Hbf|Weiterstadt|Klein Gerau|Groß Gerau|Nauheim(b Gr.Gerau)|Mainz-Bischofsheim|Mainz-Kastel;HLB;28702;RB75;2024-11-10 06:28:00;2024-11-10 06:32:00;;;4;Hessische Landesbahn;RB75;45
-2497385696290219436-2410300507-14;Frankfurt(Main)Hbf;8000105;Koblenz Hbf;Koblenz Hbf|Boppard Hbf|Oberwesel|Bacharach|Bingen(Rhein) Hbf|Gau Algesheim|Ingelheim|Mainz Hbf|Mainz Römisches Theater|Mainz-Bischofsheim|Rüsselsheim|Frankfurt(M) Flughafen Regionalbf|Frankfurt-Niederrad;RE;4251;2;2024-10-30 06:48:00;2024-10-30 06:52:00;;;4;DB Regio AG;RE2;43
-1055747470447340683-2410300419-26;Frankfurt(Main)Hbf;8000105;Würzburg Hbf;Würzburg Hbf|Würzburg-Zell|Veitshöchheim|Thüngersheim|Retzbach-Zellingen|Himmelstadt|Karlstadt(Main)|Wernfeld|Gemünden(Main)|Langenprozelten|Lohr Bahnhof|Partenstein|Wiesthal|Heigenbrücken|Laufach|Hösbach|Aschaffenburg Hbf|Kleinostheim|Dettingen(Main)|Kahl(Main)|Großkrotzenburg|Großauheim(Kr Hanau)|Hanau Hbf|Offenbach(Main)Hbf|Frankfurt(Main)Süd;RE;4600;55;2024-10-30 06:24:00;2024-10-30 06:24:00;;;0;DB Regio AG;RE55;43
-63826304703648840-2410300535-4;Frankfurt(Main)Hbf;8000105;Fulda;Fulda|Schlüchtern|Hanau Hbf;ICE;1511;;2024-10-30 06:40:00;2024-10-30 06:42:00;;;2;DB Fernverkehr AG;Fulda-Frankfurt(Main)Hbf;43
-881594861635697900-2410300404-12;Frankfurt(Main)Hbf;8000105;Dortmund Hbf;Dortmund Hbf|Bochum Hbf|Essen Hbf|Duisburg Hbf|Düsseldorf Hbf|Köln Messe/Deutz Gl.11-12|Köln/Bonn Flughafen|Siegburg/Bonn|Montabaur|Limburg Süd|Frankfurt(M) Flughafen Fernbf;ICE;523;;2024-10-30 06:56:00;2024-10-30 06:56:00;;;0;DB Fernverkehr AG;Dortmund Hbf-Frankfurt(Main)Hbf;43
