timetableStop_id;station;eva;start;plannedArrivalPath;trainCategory;trainNumber;arrivingLine;plannedArrival;changedArrivalTime;cancellationTime;eventStatus;arrival_delay;operator;Verbindung;week_number
-2336476242183100541-2411211212-14;Mannheim Hbf;8000244;Germersheim;Germersheim|Lingenfeld|Heiligenstein(Pfalz)|Berghausen(Pfalz)|Speyer Hbf|Speyer Nord-West|Schifferstadt Süd|Schifferstadt|Limburgerhof|Ludwigshafen-Rheingönheim|Ludwigshafen-Mundenheim|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38341;3;2024-11-21 12:53:00;2024-11-21 13:10:00;;;17;DB Regio AG;S3;46
-5828902107838564008-2411210905-5;Mannheim Hbf;8000244;Paris Est;Paris Est|Forbach(F)|Saarbrücken Hbf|Kaiserslautern Hbf;TGV;9551;;2024-11-21 12:18:00;2024-11-21 13:06:00;;;48;SNCF;Paris Est-Mannheim Hbf;46
6324068112608699346-2411211112-18;Mannheim Hbf;8000244;Wiesbaden Hbf;Wiesbaden Hbf|Mainz Hbf|Mainz Römisches Theater|Bodenheim|Nackenheim|Nierstein|Oppenheim|Dienheim|Guntersblum|Osthofen|Worms Hbf|Bobenheim|Frankenthal Hbf|Frankenthal Süd|Ludwigshafen-Oggersheim|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38615;6;2024-11-21 12:41:00;2024-11-21 12:48:00;;;7;DB Regio AG;S6;46
-8337737002988359923-2411211036-32;Mannheim Hbf;8000244;Osterburken;Osterburken|Adelsheim Nord|Zimmern(b Seckach)|Seckach|Eicholzheim|Oberschefflenz|Auerbach(b Mosbach, Baden)|Dallau|Neckarburken|Mosbach(Baden)|Mosbach West|Mosbach-Neckarelz|Binau|Neckargerach|Zwingenberg(Baden)|Lindach|Eberbach|Hirschhorn(Neckar)|Neckarhausen bei Neckarsteinach|Neckarsteinach|Neckargemünd Altstadt|Neckargemünd|Heidelberg Orthopädie|Heidelberg-Schlierbach/Ziegelhausen|Heidelberg-Altstadt|Heidelberg-Weststadt/Südstadt|Heidelberg Hbf|Heidelberg-Pfaffengrund/Wieblingen|Mannheim-Friedrichsfeld Süd|Mannheim-Seckenheim|Mannheim ARENA/Maimarkt;S;38124;1;2024-11-21 12:19:00;2024-11-21 12:24:00;;;5;DB Regio AG;S1;46
-8499108894829685306-2411211054-23;Mannheim Hbf;8000244;Homburg(Saar)Hbf;Homburg(Saar)Hbf|Bruchmühlbach-Miesau|Hauptstuhl|Landstuhl|Kindsbach|Einsiedlerhof|Vogelweh|Kennelgarten|Kaiserslautern Hbf|Hochspeyer|Frankenstein(Pfalz)|Weidenthal|Neidenfels|Lambrecht(Pfalz)|Neustadt(Weinstr)Hbf|Neustadt-Böbig|Haßloch(Pfalz)|Böhl-Iggelheim|Schifferstadt|Limburgerhof|Ludwigshafen(Rh)Hbf|Ludwigshafen(Rhein) Mitte;S;38123;1;2024-11-21 12:35:00;2024-11-21 12:36:00;2024-11-21 12:19:00;c;1;DB Regio AG;S1;46
1945603439104254635-2411050340-23;Frankfurt(Main)Hbf;8000105;Idar-Oberstein;Idar-Oberstein|Fischbach-Weierbach|Kirnsulzbach|Kirn|Hochstetten(Nahe)|Martinstein|Monzingen|Bad Sobernheim|Staudernheim|Norheim|Bad Münster a Stein|Bad Kreuznach|Gensingen-Horrweiler|Ockenheim|Gau Algesheim|Ingelheim|Heidesheim(Rheinhess)|Mainz Hbf|Mainz Römisches Theater|Mainz-Bischofsheim|Rüsselsheim|Frankfurt-Niederrad;RB;29551;33;2024-11-05 05:48:00;2024-11-05 05:49:00;;;1;DB Regio AG;RB33;44
5524095712606932700-2411210613-10;Mannheim Hbf;8000244;Kiel Hbf;Kiel Hbf|Neumünster|Hamburg Dammtor|Hamburg Hbf|Hannover Hbf|Göttingen|Kassel-Wilhelmshöhe|Frankfurt(Main)Hbf|Mainz Hbf;ICE;595;;2024-11-21 12:27:00;2024-11-21 12:36:00;;;9;DB Fernverkehr AG;Kiel Hbf-Mannheim Hbf;46
1942745831637585200-2411051515-15;Mainz Hbf;8000240;Kirchheimbolanden;Kirchheimbolanden|Freimersheim(Rheinh)|Wahlheim|Alzey West|Alzey|Albig|Armsheim|Wörrstadt|Saulheim|Nieder Olm|Klein Winternheim-Ober Olm|Mainz-Marienborn|Mainz-Gonsenheim|Mainz Waggonfabrik;RB;29265;31;2024-11-05 16:28:00;2024-11-05 16:27:00;;;-1;DB Regio AG;RB31;44
333620029166382799-2411051134-9;Mainz Hbf;8000240;Passau Hbf;Passau Hbf|Plattling|Regensburg Hbf|Nürnberg Hbf|Würzburg Hbf|Hanau Hbf|Frankfurt(Main)Hbf|Frankfurt(M) Flughafen Fernbf;ICE;28;;2024-11-05 16:18:00;2024-11-05 17:04:00;;;46;DB Fernverkehr AG;Passau Hbf-Mainz Hbf;44
-4363138856453226211-2411051111-9;Mainz Hbf;8000240;Kiel Hbf;Kiel Hbf|Neumünster|Hamburg Dammtor|Hamburg Hbf|Hannover Hbf|Göttingen|Kassel-Wilhelmshöhe|Frankfurt(Main)Hbf;ICE;373;;2024-11-05 16:40:00;2024-11-05 17:30:00;2024-11-05 14:59:00;c;50;DB Fernverkehr AG;Kiel Hbf-Mainz Hbf;44
