Kategorie;Frankfurt(Main)Hbf;Mainz Hbf;Mannheim Hbf;Trier Hbf;Wiesbaden Hbf
< 10 min;33,4;36,3;37,8;41,7;32,6
< 30 min;42,8;46,2;47,5;45,7;48,9
< 60 min;16,1;14,5;10,6;11,8;13,0
< 120 min;7,0;2,6;4,1;0,8;3,3
> 120 min;0,6;0,3;0,0;0,0;2,2
