Zugart;Frankfurt(Main)Hbf;Mainz Hbf;Mannheim Hbf;Trier Hbf;Wiesbaden Hbf
IC;70,27;66,66;0,0;-;-
ICE;45,95;53,69;27,18;-;35,15
RB;40,17;50,0;50,0;31,54;66,66
RE;43,06;50,47;37,23;35,6;-
S;56,25;40,42;40,98;-;36,4
TGV;0,0;-;33,33;-;-
