Zugart;Frankfurt(Main)Hbf;Mainz Hbf;Mannheim Hbf;Trier Hbf;Wiesbaden Hbf
IC;20,0;0,0;-;-;-
ICE;3,58;10,52;3,66;-;7,93
RB;14,28;9,09;-;0,0;-
RE;8,69;1,58;4,0;5,55;-
S;0,0;7,86;6,49;-;10,34
TGV;-;-;0,0;-;-
